gap,seq_num,hidden_size,num_layer,ACC,train_size_localization,train_size_detection
5,300,1024,1,97.97488861887403,2469,18705
5,300,1024,2,97.56986634264885,2469,18705
5,300,1024,3,97.6913730255164,2469,18705
10,30,32,1,49.556809024979856,1241,9841
10,30,32,2,53.182917002417405,1241,9841
10,30,32,3,53.66639806607574,1241,9841
10,30,64,1,51.248992747784044,1241,9841
10,30,64,2,54.47219983883964,1241,9841
10,30,64,3,53.505237711522966,1241,9841
10,30,128,1,51.974214343271555,1241,9841
10,30,128,2,53.102336825141016,1241,9841
10,30,128,3,53.505237711522966,1241,9841
10,30,256,1,51.32957292506043,1241,9841
10,30,256,2,53.585817888799355,1241,9841
10,30,256,3,54.713940370668816,1241,9841
10,30,512,1,50.92667203867848,1241,9841
10,30,512,2,50.92667203867848,1241,9841
10,30,512,3,54.06929895245769,1241,9841
10,30,1024,1,53.42465753424658,1241,9841
10,30,1024,2,52.61885576148268,1241,9841
10,30,1024,3,56.325543916196615,1241,9841
10,50,32,1,57.77598710717164,1241,9805
10,50,32,2,59.79049153908139,1241,9805
10,50,32,3,63.17485898468976,1241,9805
10,50,64,1,58.42062852538275,1241,9805
10,50,64,2,61.079774375503625,1241,9805
10,50,64,3,62.288477034649475,1241,9805
10,50,128,1,58.662369057211926,1241,9805
10,50,128,2,60.91861402095085,1241,9805
10,50,128,3,62.04673650282031,1241,9805
10,50,256,1,59.871071716357775,1241,9805
10,50,256,2,60.5157131345689,1241,9805
10,50,256,3,63.57775987107171,1241,9805
10,50,512,1,60.273972602739725,1241,9805
10,50,512,2,61.56325543916196,1241,9805
10,50,512,3,62.610797743755036,1241,9805
10,50,1024,1,58.340048348106365,1241,9805
10,50,1024,2,60.91861402095085,1241,9805
10,50,1024,3,62.85253827558421,1241,9805
10,80,32,1,65.18936341659952,1241,9751
10,80,32,2,68.81547139403706,1241,9751
10,80,32,3,70.42707493956486,1241,9751
10,80,64,1,68.25141015310234,1241,9751
10,80,64,2,70.42707493956486,1241,9751
10,80,64,3,72.28041901692184,1241,9751
10,80,128,1,68.00966962127316,1241,9751
10,80,128,2,70.9911361804996,1241,9751
10,80,128,3,71.47461724415794,1241,9751
10,80,256,1,68.4931506849315,1241,9751
10,80,256,2,70.58823529411765,1241,9751
10,80,256,3,70.9911361804996,1241,9751
10,80,512,1,69.94359387590653,1241,9751
10,80,512,2,70.1047542304593,1241,9751
10,80,512,3,71.31345688960516,1241,9751
10,80,1024,1,69.62127316680096,1241,9751
10,80,1024,2,69.94359387590653,1241,9751
10,80,1024,3,72.19983883964545,1241,9751
10,100,32,1,71.87751813053988,1241,9715
10,100,32,2,74.2143432715552,1241,9715
10,100,32,3,74.37550362610797,1241,9715
